name,weight_plf,A,d,bf,tf,tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,bf_2tf,h_tw,rts,ho
W10X30,30.0,8.84,10.5,5.81,0.51,0.3,170.0,36.6,32.4,4.38,16.7,8.84,5.75,1.37,0.622,414.0,5.7,29.5,1.6019785545967902,9.99
W8X31,31.0,9.13,8.0,8.0,0.435,0.285,110.0,30.4,27.5,3.47,37.1,14.1,9.27,2.02,0.536,530.0,9.19,22.3,2.2581152195937317,7.565
W16X31,31.0,9.13,15.9,5.53,0.44,0.275,375.0,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739.0,6.28,51.6,1.4241165436533143,15.46
W10X33,33.0,9.71,9.73,7.96,0.435,0.29,171.0,38.8,35.0,4.19,36.6,14.0,9.2,1.94,0.583,791.0,9.15,27.1,2.204856706998686,9.295
W14X34,34.0,10.0,14.0,6.75,0.455,0.285,340.0,54.6,48.6,5.83,23.3,10.6,6.91,1.53,0.569,1070.0,7.41,43.1,1.8024647909879017,13.545
W12X35,35.0,10.3,12.5,6.56,0.52,0.3,285.0,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,879.0,6.31,36.2,1.7939334113862975,11.98
W8X35,35.0,10.3,8.12,8.02,0.495,0.31,127.0,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,619.0,8.1,20.5,2.2813807096367853,7.624999999999999
W18X35,35.0,10.3,17.7,6.0,0.425,0.3,510.0,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140.0,7.06,53.5,1.514215992926673,17.275
W16X36,36.0,10.6,15.9,6.99,0.43,0.295,448.0,64.0,56.5,6.51,24.5,10.8,7.0,1.52,0.545,1460.0,8.12,48.1,1.8295973018188454,15.47
W14X38,38.0,11.2,14.1,6.77,0.515,0.31,385.0,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,1230.0,6.57,39.6,1.8218296750666942,13.584999999999999
W10X39,39.0,11.5,9.92,7.99,0.53,0.315,209.0,46.8,42.1,4.27,45.0,17.2,11.3,1.98,0.976,992.0,7.53,25.0,2.2402165357033392,9.39
W8X40,40.0,11.7,8.25,8.07,0.56,0.36,146.0,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,726.0,7.21,17.6,2.3061648671803714,7.6899999999999995
W16X40,40.0,11.8,16.0,7.0,0.505,0.305,518.0,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730.0,6.93,46.5,1.859019075593971,15.495
W12X40,40.0,11.7,11.9,8.01,0.515,0.295,307.0,57.0,51.5,5.13,44.1,16.8,11.0,1.94,0.906,1440.0,7.77,33.6,2.212058743228838,11.385
W18X40,40.0,11.8,17.9,6.02,0.525,0.315,612.0,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.81,1440.0,5.73,50.9,1.5571158088901602,17.375
W14X43,43.0,12.6,13.7,8.0,0.53,0.305,428.0,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,1950.0,7.54,37.4,2.1777403347947786,13.17
W21X44,44.0,13.0,20.7,6.5,0.45,0.35,843.0,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.77,2110.0,7.22,53.6,1.600361595180904,20.25
