name,weight_plf,A,d,bf,tf,tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,bf_2tf,h_tw,rts,ho
W30X148,148.0,43.6,30.7,10.5,1.18,0.65,6680.0,500.0,436.0,12.4,227.0,68.0,43.3,2.28,14.5,49400.0,4.44,41.6,2.771372842650576,29.52
W40X149,149.0,43.8,38.2,11.8,0.83,0.63,9800.0,598.0,513.0,15.0,229.0,62.2,38.8,2.29,9.36,80000.0,7.11,54.3,2.8885020811014432,37.370000000000005
W36X150,150.0,44.3,35.9,12.0,0.94,0.625,9040.0,581.0,504.0,14.3,270.0,70.9,45.1,2.47,10.1,82200.0,6.37,51.9,3.057339217627735,34.96
W12X152,152.0,44.7,13.7,12.5,1.4,0.87,1430.0,243.0,209.0,5.66,454.0,111.0,72.8,3.19,25.8,17200.0,4.46,11.2,3.656561917864976,12.299999999999999
W33X152,152.0,44.9,33.5,11.6,1.06,0.635,8160.0,559.0,487.0,13.5,273.0,73.9,47.2,2.47,12.4,71700.0,5.48,47.2,3.014088292497674,32.44
W18X158,158.0,46.3,19.7,11.3,1.44,0.81,3060.0,356.0,310.0,8.12,347.0,94.8,61.4,2.74,25.2,29000.0,3.92,19.8,3.198902631989354,18.259999999999998
W14X159,159.0,46.7,15.0,15.6,1.19,0.745,1900.0,287.0,254.0,6.38,748.0,146.0,96.2,4.0,19.7,35600.0,6.54,15.3,4.507347487256668,13.81
W36X160,160.0,47.0,36.0,12.0,1.02,0.65,9760.0,624.0,542.0,14.4,295.0,77.3,49.1,2.5,12.4,90200.0,5.88,49.9,3.0850165279948922,34.98
W27X161,161.0,47.6,27.6,14.0,1.08,0.66,6310.0,515.0,458.0,11.5,497.0,109.0,70.9,3.23,15.1,87300.0,6.49,36.1,3.7923631602832,26.520000000000003
W24X162,162.0,47.8,25.0,13.0,1.22,0.705,5170.0,468.0,414.0,10.4,443.0,105.0,68.4,3.05,18.5,62600.0,5.31,30.6,3.5665173765108036,23.78
W21X166,166.0,48.8,22.5,12.4,1.36,0.75,4280.0,432.0,380.0,9.36,435.0,108.0,70.0,2.99,23.6,48500.0,4.57,25.0,3.476689857149427,21.14
W40X167,167.0,49.3,38.6,11.8,1.03,0.65,11600.0,693.0,600.0,15.3,283.0,76.0,47.9,2.4,14.0,99700.0,5.76,52.6,2.97539598930993,37.57
W33X169,169.0,49.5,33.8,11.5,1.22,0.67,9290.0,629.0,549.0,13.7,310.0,84.4,53.9,2.5,17.7,82400.0,4.71,44.7,3.0341430615185616,32.58
W36X170,170.0,50.0,36.2,12.0,1.1,0.68,10500.0,668.0,581.0,14.5,320.0,83.8,53.2,2.53,15.1,98500.0,5.47,47.7,3.1085545005191006,35.1
W12X170,170.0,50.0,14.0,12.6,1.56,0.96,1650.0,275.0,235.0,5.74,517.0,126.0,82.3,3.22,35.6,20100.0,4.03,10.1,3.703716352181069,12.44
W30X173,173.0,50.9,30.4,15.0,1.07,0.655,8230.0,607.0,541.0,12.7,598.0,123.0,79.8,3.42,15.6,129000.0,7.04,40.8,4.02924885359666,29.33
W18X175,175.0,51.4,20.0,11.4,1.59,0.89,3450.0,398.0,344.0,8.2,391.0,106.0,68.8,2.76,33.8,33300.0,3.58,18.0,3.2387395628456606,18.41
W24X176,176.0,51.7,25.2,12.9,1.34,0.75,5680.0,511.0,450.0,10.5,479.0,115.0,74.3,3.04,23.9,68400.0,4.81,28.7,3.5664952249492017,23.86
W14X176,176.0,51.8,15.2,15.7,1.31,0.83,2140.0,320.0,281.0,6.43,838.0,163.0,107.0,4.02,26.5,40500.0,5.97,13.7,4.553251092920323,13.889999999999999
W27X178,178.0,52.5,27.8,14.1,1.19,0.725,7020.0,570.0,505.0,11.6,555.0,122.0,78.8,3.25,20.1,98400.0,5.92,32.9,3.825395400283347,26.61
W21X182,182.0,53.6,22.7,12.5,1.48,0.83,4730.0,476.0,417.0,9.4,483.0,119.0,77.2,3.0,30.7,54400.0,4.22,22.6,3.5060530259363203,21.22
W36X182,182.0,53.6,36.3,12.1,1.18,0.725,11300.0,718.0,623.0,14.5,347.0,90.7,57.6,2.55,18.5,107000.0,5.12,44.8,3.127406178268386,35.12
W40X183,183.0,53.3,39.0,11.8,1.2,0.65,13200.0,774.0,675.0,15.7,331.0,88.3,56.0,2.49,19.3,118000.0,4.92,52.6,3.042815457855609,37.8
W12X190,190.0,56.0,14.4,12.7,1.74,1.06,1890.0,311.0,263.0,5.82,589.0,143.0,93.0,3.25,48.8,23600.0,3.65,9.16,3.765121108163611,12.66
W30X191,191.0,56.1,30.7,15.0,1.19,0.71,9200.0,675.0,600.0,12.8,673.0,138.0,89.5,3.46,21.0,146000.0,6.35,37.7,4.064586354354523,29.509999999999998
W24X192,192.0,56.5,25.5,13.0,1.46,0.81,6260.0,559.0,491.0,10.5,530.0,126.0,81.8,3.07,30.8,76300.0,4.43,26.6,3.598813623270921,24.04
W18X192,192.0,56.2,20.4,11.5,1.75,0.96,3870.0,442.0,380.0,8.28,440.0,119.0,76.8,2.79,44.7,38000.0,3.27,16.7,3.2803279922866566,18.65
W14X193,193.0,56.8,15.5,15.7,1.44,0.89,2400.0,355.0,310.0,6.5,931.0,180.0,119.0,4.05,34.8,45900.0,5.45,12.8,4.592083164511477,14.06
W27X194,194.0,57.1,28.1,14.0,1.34,0.75,7860.0,631.0,559.0,11.7,619.0,136.0,88.1,3.29,27.1,111000.0,5.24,31.8,3.850769319818755,26.76
W36X194,194.0,57.0,36.5,12.1,1.26,0.765,12100.0,767.0,664.0,14.6,375.0,97.7,61.9,2.56,22.2,116000.0,4.81,42.4,3.1516521243876707,35.24
W40X199,199.0,58.8,38.7,15.8,1.07,0.65,14900.0,869.0,770.0,16.0,695.0,137.0,88.2,3.45,18.3,246000.0,7.39,52.6,4.120829210092354,37.63
W21X201,201.0,59.3,23.0,12.6,1.63,0.91,5310.0,530.0,461.0,9.47,542.0,133.0,86.1,3.02,40.9,62000.0,3.86,20.6,3.546069811556473,21.37
W33X201,201.0,59.1,33.7,15.7,1.15,0.715,11600.0,773.0,686.0,14.0,749.0,147.0,95.2,3.56,20.8,198000.0,6.85,41.7,4.213322418222638,32.550000000000004
W24X207,207.0,60.7,25.7,13.0,1.57,0.87,6820.0,606.0,531.0,10.6,578.0,137.0,88.8,3.08,38.3,84100.0,4.14,24.8,3.623545324725189,24.13
W36X210,210.0,61.9,36.7,12.2,1.36,0.83,13200.0,833.0,719.0,14.6,411.0,107.0,67.5,2.58,28.0,128000.0,4.48,39.1,3.176131702253209,35.34
W12X210,210.0,61.8,14.7,12.8,1.9,1.18,2140.0,348.0,292.0,5.89,664.0,159.0,104.0,3.28,64.7,27200.0,3.37,8.23,3.8149848719129023,12.799999999999999
W30X211,211.0,62.3,30.9,15.1,1.32,0.775,10300.0,751.0,665.0,12.9,757.0,155.0,100.0,3.49,28.4,166000.0,5.74,34.5,4.105727950664927,29.58
W18X211,211.0,62.3,20.7,11.6,1.91,1.06,4330.0,490.0,419.0,8.35,493.0,132.0,85.3,2.82,58.6,43400.0,3.02,15.1,3.322593037836193,18.79
W14X211,211.0,62.0,15.7,15.8,1.56,0.98,2660.0,390.0,338.0,6.55,1030.0,198.0,130.0,4.07,44.6,51500.0,5.06,11.6,4.641974637922604,14.139999999999999
W40X211,211.0,62.1,39.4,11.8,1.42,0.75,15500.0,906.0,786.0,15.8,390.0,105.0,66.1,2.51,30.4,141000.0,4.17,45.6,3.0715646228423052,37.98
W40X215,215.0,63.5,39.0,15.8,1.22,0.65,16700.0,964.0,859.0,16.2,803.0,156.0,101.0,3.54,24.8,284000.0,6.45,52.6,4.192874751055994,37.78
W27X217,217.0,63.9,28.4,14.1,1.5,0.83,8910.0,711.0,627.0,11.8,704.0,154.0,100.0,3.32,37.6,128000.0,4.71,28.7,3.8910058771501057,26.9
W33X221,221.0,65.3,33.9,15.8,1.28,0.775,12900.0,857.0,759.0,14.1,840.0,164.0,106.0,3.59,27.8,224000.0,6.2,38.5,4.251194137375659,32.62
W21X223,223.0,66.5,23.4,12.7,1.79,1.0,6080.0,601.0,520.0,9.56,614.0,150.0,96.7,3.04,59.5,71700.0,3.55,17.5,3.572072047544112,21.61
W24X229,229.0,67.2,26.0,13.1,1.73,0.96,7650.0,675.0,588.0,10.7,651.0,154.0,99.4,3.11,51.3,96100.0,3.79,22.5,3.667646168585186,24.27
W12X230,230.0,67.7,15.1,12.9,2.07,1.29,2420.0,386.0,321.0,5.97,742.0,177.0,115.0,3.31,83.8,31200.0,3.11,7.56,3.8715699347556414,13.03
W44X230,230.0,67.8,42.9,15.8,1.22,0.71,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,24.9,346000.0,6.45,54.8,4.134163769858923,41.68
W36X231,231.0,68.2,36.5,16.5,1.26,0.76,15600.0,963.0,854.0,15.1,940.0,176.0,114.0,3.71,28.7,292000.0,6.54,42.2,4.404521567420927,35.24
W36X232,232.0,68.0,37.1,12.1,1.57,0.87,15000.0,936.0,809.0,14.8,468.0,122.0,77.2,2.62,39.6,148000.0,3.86,37.3,3.2073963549336018,35.53
W14X233,233.0,68.5,16.0,15.9,1.72,1.07,3010.0,436.0,375.0,6.63,1150.0,221.0,145.0,4.1,59.5,59000.0,4.62,10.7,4.686750443277143,14.28
W18X234,234.0,68.6,21.1,11.7,2.11,1.16,4900.0,549.0,466.0,8.44,558.0,149.0,95.8,2.85,78.7,50100.0,2.76,13.8,3.3684105805889515,18.990000000000002
W40X235,235.0,69.1,39.7,11.9,1.58,0.83,17400.0,1010.0,875.0,15.9,444.0,118.0,74.6,2.54,41.3,161000.0,3.77,41.2,3.1084807699261736,38.120000000000005
W27X235,235.0,69.4,28.7,14.2,1.61,0.91,9700.0,772.0,677.0,11.8,769.0,168.0,108.0,3.33,47.0,141000.0,4.41,26.2,3.9218594791642696,27.09
W30X235,235.0,69.3,31.3,15.1,1.5,0.83,11700.0,847.0,748.0,13.0,855.0,175.0,114.0,3.51,40.3,190000.0,5.02,32.2,4.12789964067859,29.8
W33X241,241.0,71.1,34.2,15.9,1.4,0.83,14200.0,940.0,831.0,14.1,933.0,182.0,118.0,3.62,36.2,251000.0,5.66,35.9,4.291294592854026,32.800000000000004
W36X247,247.0,72.5,36.7,16.5,1.35,0.8,16700.0,1030.0,913.0,15.2,1010.0,190.0,123.0,3.74,34.7,316000.0,6.11,40.1,4.423507065937781,35.35
W21X248,248.0,73.8,23.7,12.8,1.99,1.1,6830.0,671.0,576.0,9.62,699.0,170.0,109.0,3.08,80.7,82400.0,3.22,15.8,3.6298598335527594,21.71
W40X249,249.0,73.5,39.4,15.8,1.42,0.75,19600.0,1120.0,993.0,16.3,926.0,182.0,118.0,3.55,38.1,334000.0,5.55,45.6,4.208377976139737,37.98
W24X250,250.0,73.5,26.3,13.2,1.89,1.04,8490.0,744.0,644.0,10.7,724.0,171.0,110.0,3.14,66.6,108000.0,3.49,20.7,3.7055070744049323,24.41
W12X252,252.0,74.1,15.4,13.0,2.25,1.4,2720.0,428.0,353.0,6.06,828.0,196.0,127.0,3.34,108.0,35800.0,2.89,6.96,3.9272720626807254,13.15
W36X256,256.0,75.3,37.4,12.2,1.73,0.96,16800.0,1040.0,895.0,14.9,528.0,137.0,86.5,2.65,52.9,168000.0,3.53,33.8,3.2439509839595604,35.67
W14X257,257.0,75.6,16.4,16.0,1.89,1.18,3400.0,487.0,415.0,6.71,1290.0,246.0,161.0,4.13,79.1,67800.0,4.23,9.71,4.747126476653926,14.509999999999998
W18X258,258.0,76.0,21.5,11.8,2.3,1.28,5510.0,611.0,514.0,8.53,628.0,166.0,107.0,2.88,103.0,57600.0,2.56,12.5,3.4206920026423946,19.2
W27X258,258.0,76.1,29.0,14.3,1.77,0.98,10800.0,852.0,745.0,11.9,859.0,187.0,120.0,3.36,61.6,159000.0,4.03,24.4,3.9606770845860164,27.23
W30X261,261.0,77.0,31.6,15.2,1.65,0.93,13100.0,943.0,829.0,13.1,959.0,196.0,127.0,3.53,54.1,215000.0,4.59,28.7,4.161855539317403,29.950000000000003
W44X262,262.0,77.2,43.3,15.8,1.42,0.785,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,37.3,405000.0,5.57,49.6,4.1735218511928815,41.879999999999995
W36X262,262.0,77.2,36.9,16.6,1.44,0.84,17900.0,1100.0,972.0,15.3,1090.0,204.0,132.0,3.76,41.6,342000.0,5.75,38.2,4.456870533261198,35.46
W33X263,263.0,77.4,34.5,15.8,1.57,0.87,15900.0,1040.0,919.0,14.3,1040.0,202.0,131.0,3.66,48.7,281000.0,5.03,34.3,4.312977168199819,32.93
W40X264,264.0,77.4,40.0,11.9,1.73,0.96,19400.0,1130.0,971.0,15.8,493.0,132.0,82.6,2.52,56.1,181000.0,3.45,35.6,3.119045847457824,38.27
W21X275,275.0,81.8,24.1,12.9,2.19,1.22,7690.0,749.0,638.0,9.7,787.0,191.0,122.0,3.1,107.0,94400.0,2.95,14.2,3.675583914950785,21.91
W40X277,277.0,81.5,39.7,15.8,1.58,0.83,21900.0,1250.0,1100.0,16.4,1040.0,204.0,132.0,3.58,51.5,379000.0,5.03,41.2,4.24836473074324,38.120000000000005
W40X278,278.0,82.3,40.2,12.0,1.81,1.03,20500.0,1190.0,1020.0,15.8,521.0,140.0,87.1,2.52,65.0,192000.0,3.31,33.3,3.131371915089025,38.39
W24X279,279.0,81.9,26.7,13.3,2.09,1.16,9600.0,835.0,718.0,10.8,823.0,193.0,124.0,3.17,90.5,125000.0,3.18,18.6,3.7585059312216615,24.61
W12X279,279.0,81.9,15.9,13.1,2.47,1.53,3110.0,481.0,393.0,6.16,937.0,220.0,143.0,3.38,143.0,42000.0,2.66,6.35,3.9953142579533973,13.43
W27X281,281.0,83.1,29.3,14.4,1.93,1.06,11900.0,936.0,814.0,12.0,953.0,206.0,133.0,3.39,79.5,178000.0,3.72,22.5,4.000055556829598,27.37
W36X282,282.0,82.9,37.1,16.6,1.57,0.885,19600.0,1190.0,1050.0,15.4,1200.0,223.0,144.0,3.8,52.7,378000.0,5.29,36.2,4.503743122502037,35.53
W18X283,283.0,83.3,21.9,11.9,2.5,1.4,6170.0,676.0,565.0,8.61,704.0,185.0,118.0,2.91,134.0,65900.0,2.38,11.3,3.472084567807679,19.4
W14X283,283.0,83.3,16.7,16.1,2.07,1.29,3840.0,542.0,459.0,6.79,1440.0,274.0,179.0,4.17,104.0,77700.0,3.89,8.84,4.80053383426229,14.629999999999999
W44X290,290.0,85.4,43.6,15.8,1.58,0.865,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,50.9,461000.0,5.02,45.0,4.202161346477231,42.02
W33X291,291.0,85.6,34.8,15.9,1.73,0.96,17700.0,1160.0,1020.0,14.4,1160.0,226.0,146.0,3.68,65.1,319000.0,4.6,31.0,4.3427225336166355,33.07
W30X292,292.0,86.0,32.0,15.3,1.85,1.02,14900.0,1060.0,930.0,13.2,1100.0,223.0,144.0,3.58,75.2,250000.0,4.12,26.2,4.222714302102331,30.15
W40X294,294.0,86.2,40.4,12.0,1.93,1.06,21900.0,1270.0,1080.0,15.9,562.0,150.0,93.5,2.55,76.6,208000.0,3.11,32.2,3.1640113656771316,38.47
W40X297,297.0,87.3,39.8,15.8,1.65,0.93,23200.0,1330.0,1170.0,16.3,1090.0,215.0,138.0,3.54,61.2,399000.0,4.8,36.8,4.221890037127391,38.15
W36X302,302.0,89.0,37.3,16.7,1.68,0.945,21100.0,1280.0,1130.0,15.4,1300.0,241.0,156.0,3.82,64.3,412000.0,4.96,33.9,4.525545340338393,35.62
W12X305,305.0,89.5,16.3,13.2,2.71,1.63,3550.0,537.0,435.0,6.29,1050.0,244.0,159.0,3.42,185.0,48600.0,2.45,5.98,4.052394932551173,13.59
W24X306,306.0,89.7,27.1,13.4,2.28,1.26,10700.0,922.0,789.0,10.9,919.0,214.0,137.0,3.2,117.0,142000.0,2.94,17.1,3.8050683498219757,24.82
W27X307,307.0,90.2,29.6,14.4,2.09,1.16,13100.0,1030.0,887.0,12.0,1050.0,227.0,146.0,3.41,101.0,199000.0,3.46,20.6,4.0369073668051145,27.51
W18X311,311.0,91.6,22.3,12.0,2.74,1.52,6970.0,754.0,624.0,8.72,795.0,207.0,132.0,2.95,176.0,76200.0,2.19,10.4,3.531735982822567,19.560000000000002
W14X311,311.0,91.4,17.1,16.2,2.26,1.41,4330.0,603.0,506.0,6.88,1610.0,304.0,199.0,4.2,136.0,89100.0,3.59,8.09,4.865199311347896,14.840000000000002
W33X318,318.0,93.7,35.2,16.0,1.89,1.04,19500.0,1270.0,1110.0,14.5,1290.0,250.0,161.0,3.71,84.4,357000.0,4.23,28.7,4.396964833715141,33.31
W40X324,324.0,95.3,40.2,15.9,1.81,1.0,25600.0,1460.0,1280.0,16.4,1220.0,239.0,153.0,3.58,79.4,448000.0,4.4,34.2,4.273704364512486,38.39
W30X326,326.0,95.9,32.4,15.4,2.05,1.14,16800.0,1190.0,1040.0,13.2,1240.0,252.0,162.0,3.6,103.0,287000.0,3.75,23.4,4.259015551027633,30.349999999999998
W40X327,327.0,95.9,40.8,12.1,2.13,1.18,24500.0,1410.0,1200.0,16.0,640.0,170.0,105.0,2.58,103.0,239000.0,2.85,29.0,3.210360813962641,38.669999999999995
W36X330,330.0,96.9,37.7,16.6,1.85,1.02,23300.0,1410.0,1240.0,15.5,1420.0,265.0,171.0,3.83,84.3,456000.0,4.49,31.4,4.5300443533496155,35.85
W40X331,331.0,97.7,40.8,12.2,2.13,1.22,24700.0,1430.0,1210.0,15.9,644.0,172.0,106.0,2.57,105.0,241000.0,2.86,28.0,3.208729021728527,38.669999999999995
W44X335,335.0,98.5,44.0,15.9,1.77,1.03,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,74.7,535000.0,4.5,38.0,4.239105261429005,42.23
W24X335,335.0,98.3,27.5,13.5,2.48,1.38,11900.0,1020.0,864.0,11.0,1030.0,238.0,152.0,3.23,152.0,161000.0,2.73,15.6,3.86063642525676,25.02
W12X336,336.0,98.9,16.8,13.4,2.96,1.78,4060.0,603.0,483.0,6.41,1190.0,274.0,177.0,3.47,243.0,57000.0,2.26,5.47,4.1293518450169024,13.84
W27X336,336.0,99.2,30.0,14.6,2.28,1.26,14600.0,1130.0,972.0,12.1,1180.0,252.0,162.0,3.45,131.0,226000.0,3.19,18.9,4.0988731591294325,27.72
W14X342,342.0,101.0,17.5,16.4,2.47,1.54,4900.0,672.0,558.0,6.98,1810.0,338.0,221.0,4.24,178.0,103000.0,3.31,7.41,4.946657602433299,15.03
W33X354,354.0,104.0,35.6,16.1,2.09,1.16,22000.0,1420.0,1240.0,14.5,1460.0,282.0,181.0,3.74,115.0,408000.0,3.85,25.7,4.436519677826055,33.510000000000005
W30X357,357.0,105.0,32.8,15.5,2.24,1.24,18700.0,1320.0,1140.0,13.3,1390.0,279.0,179.0,3.64,134.0,324000.0,3.45,21.6,4.314570074798255,30.559999999999995
W36X361,361.0,106.0,38.0,16.7,2.01,1.12,25700.0,1550.0,1350.0,15.6,1570.0,293.0,188.0,3.85,109.0,509000.0,4.16,28.6,4.576015369322698,35.99
W40X362,362.0,106.0,40.6,16.0,2.01,1.12,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,109.0,513000.0,3.99,30.5,4.328674609172142,38.59
W27X368,368.0,109.0,30.4,14.7,2.48,1.38,16200.0,1240.0,1060.0,12.2,1310.0,279.0,179.0,3.48,170.0,255000.0,2.96,17.3,4.152407209377936,27.919999999999998
W24X370,370.0,109.0,28.0,13.7,2.72,1.52,13400.0,1130.0,957.0,11.1,1160.0,267.0,170.0,3.27,201.0,186000.0,2.51,14.2,3.9177504076468908,25.28
W14X370,370.0,109.0,17.9,16.5,2.66,1.66,5440.0,736.0,607.0,7.07,1990.0,370.0,241.0,4.27,222.0,116000.0,3.1,6.89,5.0030336148493895,15.239999999999998
W40X372,372.0,110.0,40.6,16.1,2.05,1.16,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,116.0,528000.0,3.93,29.5,4.330660500748072,38.550000000000004
W33X387,387.0,114.0,36.0,16.2,2.28,1.26,24300.0,1560.0,1350.0,14.6,1620.0,312.0,200.0,3.77,148.0,459000.0,3.55,23.7,4.494330859730306,33.72
W30X391,391.0,115.0,33.2,15.6,2.44,1.36,20700.0,1450.0,1250.0,13.4,1550.0,310.0,198.0,3.67,173.0,366000.0,3.19,19.7,4.365140123700971,30.76
W40X392,392.0,116.0,41.6,12.4,2.52,1.42,29900.0,1710.0,1440.0,16.1,803.0,212.0,130.0,2.64,172.0,306000.0,2.45,24.1,3.2993470241886063,39.08
W36X395,395.0,116.0,38.4,16.8,2.2,1.22,28500.0,1710.0,1490.0,15.7,1750.0,325.0,208.0,3.88,142.0,575000.0,3.83,26.3,4.614061078012157,36.199999999999996
W40X397,397.0,117.0,41.0,16.1,2.2,1.22,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,142.0,579000.0,3.66,28.0,4.375095345673514,38.8
W14X398,398.0,117.0,18.3,16.6,2.85,1.77,6000.0,801.0,656.0,7.16,2170.0,402.0,262.0,4.31,273.0,129000.0,2.92,6.44,5.050221673151945,15.450000000000001
W14X426,426.0,125.0,18.7,16.7,3.04,1.88,6600.0,869.0,706.0,7.26,2360.0,434.0,283.0,4.34,331.0,144000.0,2.75,6.08,5.109945559281116,15.66
W40X431,431.0,127.0,41.3,16.2,2.36,1.34,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,177.0,638000.0,3.44,25.5,4.407917865407324,38.94
W36X441,441.0,130.0,38.9,17.0,2.44,1.36,32100.0,1910.0,1650.0,15.7,1990.0,368.0,235.0,3.92,194.0,661000.0,3.48,23.6,4.688367663391037,36.46
W14X455,455.0,134.0,19.0,16.8,3.21,2.02,7190.0,936.0,756.0,7.33,2560.0,468.0,304.0,4.38,395.0,160000.0,2.62,5.66,5.1740317481173195,15.79
W36X487,487.0,143.0,39.3,17.1,2.68,1.5,36000.0,2130.0,1830.0,15.8,2250.0,412.0,263.0,3.96,258.0,754000.0,3.19,21.4,4.744199256615263,36.62
W14X500,500.0,147.0,19.6,17.0,3.5,2.19,8210.0,1050.0,838.0,7.48,2880.0,522.0,339.0,4.43,514.0,187000.0,2.43,5.21,5.262432208870267,16.1
W40X503,503.0,148.0,42.1,16.4,2.76,1.54,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,277.0,789000.0,2.98,22.3,4.501364665588767,39.34
W36X529,529.0,156.0,39.8,17.2,2.91,1.61,39600.0,2330.0,1990.0,16.0,2490.0,454.0,289.0,4.0,327.0,846000.0,2.96,19.9,4.802483587445561,36.89
W27X539,539.0,159.0,32.5,15.3,3.54,1.97,25600.0,1890.0,1570.0,12.7,2110.0,437.0,277.0,3.65,496.0,443000.0,2.15,12.1,4.412875949735317,28.96
W14X550,550.0,162.0,20.2,17.2,3.82,2.38,9430.0,1180.0,931.0,7.63,3250.0,583.0,378.0,4.49,669.0,219000.0,2.25,4.79,5.353120609699092,16.38
W40X593,593.0,174.0,43.0,16.7,3.23,1.79,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,445.0,997000.0,2.58,19.1,4.628241328053038,39.77
W14X605,605.0,178.0,20.9,17.4,4.16,2.6,10800.0,1320.0,1040.0,7.8,3680.0,652.0,423.0,4.55,869.0,258000.0,2.09,4.39,5.443148858543435,16.74
W36X652,652.0,192.0,41.1,17.6,3.54,1.97,50600.0,2910.0,2460.0,16.2,3230.0,581.0,367.0,4.1,593.0,1130000.0,2.48,16.3,4.955673526800772,37.56
W40X655,655.0,193.0,43.6,16.9,3.54,1.97,56500.0,3080.0,2590.0,17.1,2870.0,542.0,340.0,3.86,589.0,1150000.0,2.39,17.3,4.709719607436721,40.06
W14X665,665.0,196.0,21.6,17.7,4.52,2.83,12400.0,1480.0,1150.0,7.98,4170.0,730.0,472.0,4.62,1120.0,305000.0,1.95,4.03,5.568779902485609,17.080000000000002
W36X723,723.0,213.0,41.8,17.8,3.9,2.17,57300.0,3270.0,2740.0,16.4,3700.0,658.0,416.0,4.17,785.0,1330000.0,2.28,15.0,5.0598548646701715,37.9
W14X730,730.0,215.0,22.4,17.9,4.91,3.07,14300.0,1660.0,1280.0,8.17,4720.0,816.0,527.0,4.69,1450.0,362000.0,1.82,3.71,5.682738312826261,17.49
W36X802,802.0,236.0,42.6,18.0,4.29,2.38,64800.0,3660.0,3040.0,16.6,4210.0,744.0,468.0,4.22,1050.0,1540000.0,2.1,13.7,5.146522933276847,38.31
W14X808,808.0,238.0,22.8,18.6,5.12,3.74,15900.0,1830.0,1390.0,8.17,5550.0,930.0,597.0,4.83,1840.0,434000.0,1.82,3.04,5.942077037655743,17.68
W36X853,853.0,251.0,43.1,18.2,4.53,2.52,70000.0,3920.0,3250.0,16.7,4600.0,805.0,505.0,4.28,1240.0,1710000.0,2.01,12.9,5.2239234590507335,38.57
W14X873,873.0,257.0,23.6,18.8,5.51,3.94,18100.0,2030.0,1530.0,8.39,6170.0,1020.0,656.0,4.9,2270.0,505000.0,1.71,2.89,6.040159682492347,18.090000000000003
W36X925,925.0,272.0,43.1,18.6,4.53,3.02,73000.0,4130.0,3390.0,16.4,4940.0,862.0,531.0,4.26,1430.0,1840000.0,2.05,10.8,5.303179703682134,38.57
